Department,Total Final Year Students,Eligible for Placement,Placed Count,Salary Range(LPA),% of Placement,No.of Single Offers,No.of Multiple Offers,year
CSE,187,187,165,4-12,88.23,101,64,2023
ECE,178,178,165,3-11,92.7,125,40,2023
EEE,158,155,147,4.5-10,94.83,84,63,2023
MECH,191,168,118,3.5-10,70.23,78,40,2023
IT,189,187,180,4.5-18,96.26,109,71,2023
EIE,103,103,95,4.5-6.7,92.236,65,30,2023
ICE,12,9,5,4.5-6.7,25,2,1,2023
BIOTECH,52,52,48,2.04-7.5,92.321,31,17,2023
CHEMICAL,60,60,48,3.32-3.32,80,22,26,2023
CIVIL,65,62,39,5-5,62.90,24,15,2023
MBA,114,114,128,3.0-12.5,85.08,97,17,2023
MBA(INT),17,17,17,3.0-12.5,100,17,03,2023
